               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10795,            0.032286,                   0,           0.0060884,             0.74667,            0.027781,           0.0063529,            0.060587,            0.019237,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.078077,            0.030068,                   0,             0.25094,             0.18667,             0.12992,            0.047608,            0.049534,             0.01409,                   0,            0.050401,            0.005401,            0.005401
                   2,            0.066004,            0.025293,                   0,             0.30258,             0.37333,             0.27528,             0.14287,            0.042869,             0.01135,                   0,            0.025001,           0.0080012,           0.0080012
                   3,             0.06137,            0.023032,                   0,             0.50247,             0.57333,             0.46538,             0.15535,            0.038335,             0.01103,                   0,             0.00946,             0.00946,             0.00946
                   4,            0.051879,            0.020596,                   0,             0.56789,             0.59583,             0.54721,             0.26039,            0.037747,            0.010948,                   0,             0.00946,             0.00946,             0.00946
                   5,            0.047344,            0.016851,                   0,             0.74821,                0.72,             0.72713,              0.4234,            0.032857,           0.0093406,                   0,             0.00928,             0.00928,             0.00928
                   6,            0.041937,            0.017547,                   0,             0.67078,                0.76,              0.7165,             0.29951,            0.025002,           0.0079416,                   0,              0.0091,              0.0091,              0.0091
                   7,            0.037741,            0.015119,                   0,             0.85029,             0.61333,             0.69148,             0.40825,            0.028301,            0.008931,                   0,             0.00892,             0.00892,             0.00892
                   8,            0.037717,            0.014024,                   0,             0.73134,             0.47191,             0.62989,             0.35507,            0.025868,            0.010247,                   0,             0.00874,             0.00874,             0.00874
                   9,            0.035069,            0.013928,                   0,             0.86594,             0.86667,             0.92469,             0.49968,            0.020409,           0.0068377,                   0,             0.00856,             0.00856,             0.00856
                  10,            0.032903,            0.013696,                   0,             0.81958,             0.90667,             0.91775,             0.45912,            0.025191,           0.0065502,                   0,             0.00838,             0.00838,             0.00838
                  11,             0.03211,            0.012756,                   0,             0.42571,             0.34667,              0.3302,             0.16244,            0.027986,            0.013278,                   0,              0.0082,              0.0082,              0.0082
                  12,            0.031587,             0.01299,                   0,             0.84572,             0.58667,             0.71094,              0.3305,             0.02969,            0.009511,                   0,             0.00802,             0.00802,             0.00802
                  13,            0.031136,            0.012072,                   0,              0.7754,             0.78255,             0.86533,             0.56363,            0.017516,            0.007717,                   0,             0.00784,             0.00784,             0.00784
                  14,            0.029268,             0.01222,                   0,             0.88151,             0.89278,             0.92645,             0.52561,            0.020464,           0.0067677,                   0,             0.00766,             0.00766,             0.00766
                  15,            0.029207,            0.012068,                   0,               0.501,             0.66667,             0.51271,             0.21965,              0.0254,            0.011196,                   0,             0.00748,             0.00748,             0.00748
                  16,            0.028459,            0.011907,                   0,             0.87416,             0.92622,             0.96122,             0.74346,             0.01319,           0.0051044,                   0,              0.0073,              0.0073,              0.0073
                  17,             0.02574,            0.010781,                   0,             0.95745,                0.92,             0.96241,             0.73086,            0.013284,            0.005088,                   0,             0.00712,             0.00712,             0.00712
                  18,            0.027228,            0.011474,                   0,             0.92874,                0.96,             0.98002,             0.74681,            0.012135,           0.0052253,                   0,             0.00694,             0.00694,             0.00694
                  19,            0.027231,            0.011438,                   0,             0.94488,             0.86667,             0.95726,             0.69296,            0.013927,           0.0054097,                   0,             0.00676,             0.00676,             0.00676
                  20,            0.025108,            0.011259,                   0,             0.92802,             0.93333,             0.96664,             0.76102,            0.012134,           0.0051259,                   0,             0.00658,             0.00658,             0.00658
                  21,            0.024293,            0.010584,                   0,             0.79638,                 0.8,             0.83583,             0.59058,            0.014866,           0.0072914,                   0,              0.0064,              0.0064,              0.0064
                  22,            0.024464,            0.011294,                   0,             0.56253,             0.61333,             0.54663,             0.24703,            0.026555,            0.012543,                   0,             0.00622,             0.00622,             0.00622
                  23,             0.02412,            0.011108,                   0,             0.95546,                0.92,             0.96451,             0.73446,            0.012805,           0.0048168,                   0,             0.00604,             0.00604,             0.00604
                  24,            0.024346,            0.010148,                   0,             0.84584,             0.73162,             0.84351,             0.52346,            0.018098,           0.0079968,                   0,             0.00586,             0.00586,             0.00586
                  25,             0.02447,            0.010682,                   0,             0.97252,             0.94392,             0.97611,             0.77501,            0.011816,           0.0047193,                   0,             0.00568,             0.00568,             0.00568
                  26,            0.022807,            0.010354,                   0,             0.91106,                0.92,             0.96432,             0.75531,            0.012015,           0.0047374,                   0,              0.0055,              0.0055,              0.0055
                  27,            0.022223,            0.010283,                   0,             0.94399,             0.89893,              0.9346,             0.76593,            0.012952,           0.0049275,                   0,             0.00532,             0.00532,             0.00532
                  28,            0.023029,            0.010317,                   0,             0.93235,                0.96,             0.97023,             0.76714,            0.011453,           0.0047369,                   0,             0.00514,             0.00514,             0.00514
                  29,            0.022742,            0.010083,                   0,             0.97191,             0.94667,             0.97296,             0.76031,            0.013074,           0.0050608,                   0,             0.00496,             0.00496,             0.00496
                  30,            0.022171,             0.01051,                   0,             0.96655,             0.93333,             0.96847,             0.77349,            0.011685,           0.0046712,                   0,             0.00478,             0.00478,             0.00478
                  31,             0.02225,           0.0097684,                   0,             0.96321,             0.89333,             0.96742,             0.76006,            0.012188,           0.0046958,                   0,              0.0046,              0.0046,              0.0046
                  32,            0.021581,            0.010579,                   0,             0.97321,             0.96871,             0.98313,             0.80345,             0.01053,           0.0045195,                   0,             0.00442,             0.00442,             0.00442
                  33,            0.020461,           0.0095392,                   0,             0.94322,             0.93333,             0.95431,             0.73131,            0.012966,           0.0049856,                   0,             0.00424,             0.00424,             0.00424
                  34,            0.021467,            0.010148,                   0,               0.984,             0.94667,             0.98408,              0.8059,           0.0097907,           0.0041647,                   0,             0.00406,             0.00406,             0.00406
                  35,            0.019664,           0.0095516,                   0,             0.97221,             0.93284,             0.97924,             0.77303,            0.010991,           0.0044107,                   0,             0.00388,             0.00388,             0.00388
                  36,            0.021075,           0.0096927,                   0,              0.8484,             0.82083,              0.8755,             0.62707,            0.014268,           0.0070044,                   0,              0.0037,              0.0037,              0.0037
                  37,            0.021515,           0.0096094,                   0,             0.89865,             0.82755,             0.91408,             0.67917,            0.013652,            0.006248,                   0,             0.00352,             0.00352,             0.00352
                  38,            0.019281,           0.0097818,                   0,             0.92317,             0.97333,              0.9759,             0.78786,            0.010682,           0.0044391,                   0,             0.00334,             0.00334,             0.00334
                  39,            0.020312,           0.0093603,                   0,              0.9588,             0.93084,             0.97972,             0.79176,            0.010696,           0.0042586,                   0,             0.00316,             0.00316,             0.00316
                  40,            0.018838,           0.0094367,                   0,             0.94609,             0.94667,             0.98083,             0.78199,            0.010951,            0.004276,                   0,             0.00298,             0.00298,             0.00298
                  41,            0.019617,            0.010003,                   0,             0.95867,             0.94667,             0.98242,             0.79035,            0.010844,           0.0042633,                   0,              0.0028,              0.0028,              0.0028
                  42,            0.018446,           0.0093301,                   0,             0.95817,             0.94667,             0.97794,             0.79802,            0.010858,           0.0043716,                   0,             0.00262,             0.00262,             0.00262
                  43,            0.018865,           0.0097013,                   0,             0.95938,             0.94473,             0.98072,             0.80866,            0.010476,           0.0044351,                   0,             0.00244,             0.00244,             0.00244
                  44,            0.020194,           0.0089113,                   0,             0.93218,             0.94667,             0.97521,             0.79003,            0.010875,           0.0044193,                   0,             0.00226,             0.00226,             0.00226
                  45,            0.018024,           0.0089421,                   0,             0.92276,             0.95573,             0.97358,             0.80377,            0.010271,           0.0044379,                   0,             0.00208,             0.00208,             0.00208
                  46,            0.019455,           0.0095505,                   0,             0.94729,             0.95843,             0.98505,             0.81266,            0.010302,           0.0043299,                   0,              0.0019,              0.0019,              0.0019
                  47,            0.018034,           0.0096126,                   0,             0.95767,             0.94667,             0.98175,             0.80735,            0.010545,            0.004351,                   0,             0.00172,             0.00172,             0.00172
                  48,            0.020644,           0.0093018,                   0,             0.95849,             0.94667,             0.97875,               0.799,            0.010337,           0.0043385,                   0,             0.00154,             0.00154,             0.00154
                  49,             0.01877,           0.0092807,                   0,             0.95761,             0.94667,             0.96452,               0.792,            0.010502,           0.0044931,                   0,             0.00136,             0.00136,             0.00136
                  50,            0.017845,           0.0093223,                   0,             0.95841,             0.94667,             0.97108,              0.8017,            0.010633,           0.0043445,                   0,             0.00118,             0.00118,             0.00118
                  51,            0.018206,            0.009083,                   0,             0.95862,             0.94667,             0.98015,             0.81103,            0.010616,           0.0041745,                   0,               0.001,               0.001,               0.001
                  52,            0.017555,           0.0087995,                   0,             0.95887,             0.94667,             0.98259,             0.81623,            0.010356,            0.004281,                   0,             0.00082,             0.00082,             0.00082
                  53,             0.01941,           0.0088352,                   0,             0.95892,             0.94667,             0.98264,             0.80872,            0.010456,           0.0042253,                   0,             0.00064,             0.00064,             0.00064
                  54,            0.018503,           0.0090052,                   0,              0.9585,             0.94667,             0.98351,             0.81454,            0.010488,           0.0041541,                   0,             0.00046,             0.00046,             0.00046
